Quarter ID,Quarter,State ID,State,Investment
20123,2012-Q3,2,Baja California,286.41923904418945
20124,2012-Q4,2,Baja California,328.4457321166992
20131,2013-Q1,2,Baja California,244.3609961271286
20132,2013-Q2,2,Baja California,433.89280700683594
20133,2013-Q3,2,Baja California,192.21159553527832
20134,2013-Q4,2,Baja California,420.361083984375
20141,2014-Q1,2,Baja California,357.12867736816406
20142,2014-Q2,2,Baja California,295.08416748046875
20143,2014-Q3,2,Baja California,180.60188102722168
20144,2014-Q4,2,Baja California,390.52964782714844
20151,2015-Q1,2,Baja California,304.369891166687
20152,2015-Q2,2,Baja California,210.38946151733398
20153,2015-Q3,2,Baja California,296.9308738708496
20154,2015-Q4,2,Baja California,355.5943298339844
20161,2016-Q1,2,Baja California,614.7488861083984
20162,2016-Q2,2,Baja California,309.719783782959
20163,2016-Q3,2,Baja California,218.75066566467285
20164,2016-Q4,2,Baja California,423.9110984802246
20171,2017-Q1,2,Baja California,580.3698501586914
20172,2017-Q2,2,Baja California,687.2795867919922
20173,2017-Q3,2,Baja California,170.46066856384277
20174,2017-Q4,2,Baja California,241.16082191467285
20181,2018-Q1,2,Baja California,742.5390625
20182,2018-Q2,2,Baja California,248.44143962860107
20183,2018-Q3,2,Baja California,226.17971181869507
20184,2018-Q4,2,Baja California,413.99002981185913
20191,2019-Q1,2,Baja California,605.7449073791504
20192,2019-Q2,2,Baja California,218.1908254623413
20193,2019-Q3,2,Baja California,221.43078231811523
20194,2019-Q4,2,Baja California,138.36313688755035
20201,2020-Q1,2,Baja California,751.8900299072266
20202,2020-Q2,2,Baja California,214.9203746318817
20203,2020-Q3,2,Baja California,-5.424026966094971
20204,2020-Q4,2,Baja California,234.0036872625351
20211,2021-Q1,2,Baja California,470.2771997451782
20212,2021-Q2,2,Baja California,1320.348027229309
20213,2021-Q3,2,Baja California,265.8256950378418
20214,2021-Q4,2,Baja California,166.2751808166504
20221,2022-Q1,2,Baja California,968.3805847167969
20222,2022-Q2,2,Baja California,286.7571563720703
20223,2022-Q3,2,Baja California,267.2867088317871
20224,2022-Q4,2,Baja California,351.9552516937256
20231,2023-Q1,2,Baja California,957.2334251403809
20232,2023-Q2,2,Baja California,577.9378681182861
20233,2023-Q3,2,Baja California,-345.6045379638672
20234,2023-Q4,2,Baja California,288.3887023925781
20241,2024-Q1,2,Baja California,1319.3280420303345
20242,2024-Q2,2,Baja California,778.9688949584961
20243,2024-Q3,2,Baja California,172.08131802082062
20244,2024-Q4,2,Baja California,208.1470766067505
19991,1999-Q1,3,Baja California Sur,21.074179008603096
19992,1999-Q2,3,Baja California Sur,17.93313643336296
19993,1999-Q3,3,Baja California Sur,24.562318794429302
19994,1999-Q4,3,Baja California Sur,71.55286482721567
20001,2000-Q1,3,Baja California Sur,25.900467075407505
20002,2000-Q2,3,Baja California Sur,100.62646675109863
20003,2000-Q3,3,Baja California Sur,21.04466822743416
20004,2000-Q4,3,Baja California Sur,25.93928039073944
20011,2001-Q1,3,Baja California Sur,61.58635377883911
20012,2001-Q2,3,Baja California Sur,32.24279725551605
20013,2001-Q3,3,Baja California Sur,101.71641552448273
20014,2001-Q4,3,Baja California Sur,47.60298204421997
20021,2002-Q1,3,Baja California Sur,74.3241319656372
20022,2002-Q2,3,Baja California Sur,75.10507643222809
