id_estado,estado,indicador,indicador_nombre,año,valor
04,Campeche,6200205239,Poblacion con educacion basica,2010,324014.00000000000000000000
04,Campeche,6200205241,Poblacion con bachillerato,1990,18043.00000000000000000000
04,Campeche,6200205241,Poblacion con bachillerato,2000,37327.00000000000000000000
04,Campeche,6200205241,Poblacion con bachillerato,2010,72279.00000000000000000000
04,Campeche,6200205242,Poblacion con estudios superiores,1990,14521.00000000000000000000
04,Campeche,6200205242,Poblacion con estudios superiores,2000,35645.00000000000000000000
04,Campeche,6200205242,Poblacion con estudios superiores,2010,82354.00000000000000000000
04,Campeche,6207019020,Porcentaje sin escolaridad,2015,7.59295100000000000000
04,Campeche,6207019020,Porcentaje sin escolaridad,2020,6.60530550508016000000
05,Coahuila de Zaragoza,1004000001,Derechohabientes,2000,1601684.00000000000000000000
05,Coahuila de Zaragoza,1004000001,Derechohabientes,2005,1721774.00000000000000000000
05,Coahuila de Zaragoza,1004000001,Derechohabientes,2010,2103178.00000000000000000000
05,Coahuila de Zaragoza,1004000001,Derechohabientes,2020,2540708.00000000000000000000
05,Coahuila de Zaragoza,1005000038,Promedio escolaridad,1995,
05,Coahuila de Zaragoza,1005000038,Promedio escolaridad,2000,8.40000000000000000000
05,Coahuila de Zaragoza,1005000038,Promedio escolaridad,2005,9.00000000000000000000
05,Coahuila de Zaragoza,1005000038,Promedio escolaridad,2010,9.47000000000000000000
05,Coahuila de Zaragoza,1005000038,Promedio escolaridad,2015,9.89738824882500000000
05,Coahuila de Zaragoza,1005000038,Promedio escolaridad,2020,10.43199556513110000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1910,55.90000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1921,50.70000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1930,47.70000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1940,34.40000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1950,25.90000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1960,15.60000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1970,13.80000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1980,7.90000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1990,5.50000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,1995,4.80000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,2000,3.90000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,2005,3.30000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,2010,2.63000000000000000000
05,Coahuila de Zaragoza,3108001001,Porcentaje analfabetismo,2015,1.96933033268193000000
05,Coahuila de Zaragoza,6200205239,Poblacion con educacion basica,2000,950803.00000000000000000000
05,Coahuila de Zaragoza,6200205239,Poblacion con educacion basica,2010,1089165.00000000000000000000
05,Coahuila de Zaragoza,6200205241,Poblacion con bachillerato,1990,75470.00000000000000000000
05,Coahuila de Zaragoza,6200205241,Poblacion con bachillerato,2000,125863.00000000000000000000
05,Coahuila de Zaragoza,6200205241,Poblacion con bachillerato,2010,219124.00000000000000000000
05,Coahuila de Zaragoza,6200205242,Poblacion con estudios superiores,1990,91831.00000000000000000000
05,Coahuila de Zaragoza,6200205242,Poblacion con estudios superiores,2000,165613.00000000000000000000
05,Coahuila de Zaragoza,6200205242,Poblacion con estudios superiores,2010,306864.00000000000000000000
05,Coahuila de Zaragoza,6207019020,Porcentaje sin escolaridad,2015,2.51203440000000000000
05,Coahuila de Zaragoza,6207019020,Porcentaje sin escolaridad,2020,1.92955932051191000000
06,Colima,1004000001,Derechohabientes,2000,247626.00000000000000000000
06,Colima,1004000001,Derechohabientes,2005,397103.00000000000000000000
06,Colima,1004000001,Derechohabientes,2010,528711.00000000000000000000
06,Colima,1004000001,Derechohabientes,2020,605947.00000000000000000000
06,Colima,1005000038,Promedio escolaridad,1995,
06,Colima,1005000038,Promedio escolaridad,2000,7.70000000000000000000
06,Colima,1005000038,Promedio escolaridad,2005,8.40000000000000000000
06,Colima,1005000038,Promedio escolaridad,2010,8.95000000000000000000
06,Colima,1005000038,Promedio escolaridad,2015,9.52872041908884000000
06,Colima,1005000038,Promedio escolaridad,2020,10.04672998212950000000
06,Colima,3108001001,Porcentaje analfabetismo,1910,46.90000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1921,50.10000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1930,48.20000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1940,37.70000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1950,33.30000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1960,25.90000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1970,22.30000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1980,12.90000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1990,9.30000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,1995,8.60000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,2000,7.20000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,2005,6.40000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,2010,5.13000000000000000000
06,Colima,3108001001,Porcentaje analfabetismo,2015,3.88011671880284000000
06,Colima,6200205239,Poblacion con educacion basica,2000,213005.00000000000000000000
06,Colima,6200205239,Poblacion con educacion basica,2010,256926.00000000000000000000
06,Colima,6200205241,Poblacion con bachillerato,1990,17339.00000000000000000000
06,Colima,6200205241,Poblacion con bachillerato,2000,30898.00000000000000000000
06,Colima,6200205241,Poblacion con bachillerato,2010,60060.00000000000000000000
06,Colima,6200205242,Poblacion con estudios superiores,1990,16077.00000000000000000000
06,Colima,6200205242,Poblacion con estudios superiores,2000,30790.00000000000000000000
06,Colima,6200205242,Poblacion con estudios superiores,2010,69227.00000000000000000000
06,Colima,6207019020,Porcentaje sin escolaridad,2015,4.67066300000000000000
06,Colima,6207019020,Porcentaje sin escolaridad,2020,3.99678574510312000000
07,Chiapas,1004000001,Derechohabientes,2000,689971.00000000000000000000
07,Chiapas,1004000001,Derechohabientes,2005,861443.00000000000000000000
07,Chiapas,1004000001,Derechohabientes,2010,2723529.00000000000000000000
07,Chiapas,1004000001,Derechohabientes,2020,3698663.00000000000000000000
07,Chiapas,1005000038,Promedio escolaridad,1995,
07,Chiapas,1005000038,Promedio escolaridad,2000,5.40000000000000000000
07,Chiapas,1005000038,Promedio escolaridad,2005,6.10000000000000000000
07,Chiapas,1005000038,Promedio escolaridad,2010,6.67000000000000000000
07,Chiapas,1005000038,Promedio escolaridad,2015,7.28858120820635000000
07,Chiapas,1005000038,Promedio escolaridad,2020,7.78321829739686000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1910,85.20000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1921,80.40000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1930,81.00000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1940,76.60000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1950,65.40000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1960,56.70000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1970,45.40000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1980,38.00000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1990,30.10000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,1995,26.10000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,2000,22.90000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,2005,21.40000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,2010,17.80000000000000000000
07,Chiapas,3108001001,Porcentaje analfabetismo,2015,14.83999388770110000000
07,Chiapas,6200205239,Poblacion con educacion basica,2000,1384693.00000000000000000000
07,Chiapas,6200205239,Poblacion con educacion basica,2010,1848927.00000000000000000000
07,Chiapas,6200205241,Poblacion con bachillerato,1990,62036.00000000000000000000
07,Chiapas,6200205241,Poblacion con bachillerato,2000,134683.00000000000000000000
07,Chiapas,6200205241,Poblacion con bachillerato,2010,288346.00000000000000000000
07,Chiapas,6200205242,Poblacion con estudios superiores,1990,46221.00000000000000000000
07,Chiapas,6200205242,Poblacion con estudios superiores,2000,103352.00000000000000000000
07,Chiapas,6200205242,Poblacion con estudios superiores,2010,239023.00000000000000000000
07,Chiapas,6207019020,Porcentaje sin escolaridad,2015,14.55311300000000000000
07,Chiapas,6207019020,Porcentaje sin escolaridad,2020,13.29261156440570000000
08,Chihuahua,1004000001,Derechohabientes,2000,1716041.00000000000000000000
08,Chihuahua,1004000001,Derechohabientes,2005,1891460.00000000000000000000
08,Chihuahua,1004000001,Derechohabientes,2010,2489301.00000000000000000000
08,Chihuahua,1004000001,Derechohabientes,2020,3156294.00000000000000000000
08,Chihuahua,1005000038,Promedio escolaridad,1995,
08,Chihuahua,1005000038,Promedio escolaridad,2000,7.70000000000000000000
08,Chihuahua,1005000038,Promedio escolaridad,2005,8.30000000000000000000
08,Chihuahua,1005000038,Promedio escolaridad,2010,8.82000000000000000000
08,Chihuahua,1005000038,Promedio escolaridad,2015,9.46659055864783000000
08,Chihuahua,1005000038,Promedio escolaridad,2020,9.99694205883146000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1910,59.00000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1921,67.80000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1930,46.50000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1940,34.20000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1950,27.10000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1960,20.30000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1970,14.10000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1980,8.80000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1990,6.10000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,1995,5.40000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,2000,4.80000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,2005,4.40000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,2010,3.66000000000000000000
08,Chihuahua,3108001001,Porcentaje analfabetismo,2015,2.60294542485220000000
08,Chihuahua,6200205239,Poblacion con educacion basica,2000,1325353.00000000000000000000
08,Chihuahua,6200205239,Poblacion con educacion basica,2010,1379377.00000000000000000000
08,Chihuahua,6200205241,Poblacion con bachillerato,1990,164510.00000000000000000000
08,Chihuahua,6200205241,Poblacion con bachillerato,2000,305241.00000000000000000000
08,Chihuahua,6200205241,Poblacion con bachillerato,2010,524060.00000000000000000000
08,Chihuahua,6200205242,Poblacion con estudios superiores,1990,92317.00000000000000000000
08,Chihuahua,6200205242,Poblacion con estudios superiores,2000,168629.00000000000000000000
