anio,id_estado,estado,gini
2014,5,Coahuila de Zaragoza,0.5029373168945312
2016,5,Coahuila de Zaragoza,0.41548416018486023
2018,5,Coahuila de Zaragoza,0.4111838638782501
2020,5,Coahuila de Zaragoza,0.3928172290325165
2022,5,Coahuila de Zaragoza,0.38642144203186035
2010,6,Colima,0.42002615332603455
2012,6,Colima,0.4450766146183014
2014,6,Colima,0.456875741481781
2016,6,Colima,0.41314560174942017
2018,6,Colima,0.4100906252861023
2020,6,Colima,0.4015277326107025
2022,6,Colima,0.3765433430671692
2010,10,Durango,0.4699110686779022
2012,10,Durango,0.4990297257900238
2014,10,Durango,0.4455944895744324
2016,10,Durango,0.4088643193244934
2018,10,Durango,0.4127088487148285
2020,10,Durango,0.4521006941795349
2022,10,Durango,0.39392930269241333
2010,15,Estado de México,0.4679317772388458
2012,15,Estado de México,0.4702672064304352
2014,15,Estado de México,0.46104952692985535
2016,15,Estado de México,0.40784236788749695
2018,15,Estado de México,0.39353087544441223
2020,15,Estado de México,0.45403316617012024
2022,15,Estado de México,0.38214319944381714
2010,11,Guanajuato,0.43305689096450806
2012,11,Guanajuato,0.46333974599838257
2014,11,Guanajuato,0.4490402042865753
2016,11,Guanajuato,0.5493841767311096
2018,11,Guanajuato,0.38943061232566833
2020,11,Guanajuato,0.38561075925827026
2022,11,Guanajuato,0.3700433671474457
2010,12,Guerrero,0.5156973004341125
2012,12,Guerrero,0.5329861044883728
2014,12,Guerrero,0.48889005184173584
2016,12,Guerrero,0.4578154981136322
2018,12,Guerrero,0.4720004200935364
2020,12,Guerrero,0.4453235864639282
2022,12,Guerrero,0.45035210251808167
2010,13,Hidalgo,0.4652176797389984
2012,13,Hidalgo,0.4802541136741638
2014,13,Hidalgo,0.5041142106056213
2016,13,Hidalgo,0.4254027307033539
2018,13,Hidalgo,0.4170731008052826
2020,13,Hidalgo,0.40128737688064575
2022,13,Hidalgo,0.3949460983276367
2010,14,Jalisco,0.46113333106040955
2012,14,Jalisco,0.4727552831172943
2014,14,Jalisco,0.467883437871933
2016,14,Jalisco,0.40873968601226807
2018,14,Jalisco,0.42379748821258545
2020,14,Jalisco,0.38843435049057007
2022,14,Jalisco,0.36626967787742615
2010,16,Michoacán de Ocampo,0.48885980248451233
2012,16,Michoacán de Ocampo,0.4716120958328247
2014,16,Michoacán de Ocampo,0.4517737925052643
2016,16,Michoacán de Ocampo,0.4109116792678833
2018,16,Michoacán de Ocampo,0.41603654623031616
2020,16,Michoacán de Ocampo,0.404522180557251
2022,16,Michoacán de Ocampo,0.4250013530254364
2010,17,Morelos,0.4198734760284424
2012,17,Morelos,0.4333338737487793
2014,17,Morelos,0.4669072926044464
2016,17,Morelos,0.4260925054550171
2018,17,Morelos,0.41280707716941833
2020,17,Morelos,0.41562068462371826
2022,17,Morelos,0.4116186499595642
2010,18,Nayarit,0.4875582158565521
2012,18,Nayarit,0.4984950125217438
2014,18,Nayarit,0.4712536334991455
2016,18,Nayarit,0.46059733629226685
2018,18,Nayarit,0.42297521233558655
2020,18,Nayarit,0.4076329171657562
2022,18,Nayarit,0.43720415234565735
2010,19,Nuevo León,0.49752143025398254
2012,19,Nuevo León,0.4845840334892273
2014,19,Nuevo León,0.45272231101989746
2016,19,Nuevo León,0.5901740193367004
2018,19,Nuevo León,0.4433029294013977
2020,19,Nuevo León,0.45496341586112976
2022,19,Nuevo León,0.3979850709438324
2010,20,Oaxaca,0.5086755156517029
2012,20,Oaxaca,0.5109760761260986
2014,20,Oaxaca,0.5125001668930054
2016,20,Oaxaca,0.47432050108909607
2018,20,Oaxaca,0.47505083680152893
2020,20,Oaxaca,0.45317500829696655
2022,20,Oaxaca,0.44572582840919495
2010,21,Puebla,0.48125186562538147
2012,21,Puebla,0.48517489433288574
2014,21,Puebla,0.5719929337501526
2016,21,Puebla,0.42964911460876465
2018,21,Puebla,0.40087026357650757
2020,21,Puebla,0.4385921061038971
2022,21,Puebla,0.4010930061340332
2010,22,Querétaro,0.48736923933029175
2012,22,Querétaro,0.5030982494354248
2014,22,Querétaro,0.4881385266780853
2016,22,Querétaro,0.4593670070171356
2018,22,Querétaro,0.4274703562259674
2020,22,Querétaro,0.42135339975357056
2022,22,Querétaro,0.3897806704044342
2010,23,Quintana Roo,0.47686153650283813
2012,23,Quintana Roo,0.47701942920684814
2014,23,Quintana Roo,0.4935784637928009
2016,23,Quintana Roo,0.4346911311149597
2018,23,Quintana Roo,0.41195783019065857
2020,23,Quintana Roo,0.46228137612342834
2022,23,Quintana Roo,0.4055052101612091
2010,24,San Luis Potosí,0.5071009397506714
2012,24,San Luis Potosí,0.4920574128627777
2014,24,San Luis Potosí,0.47661271691322327
2016,24,San Luis Potosí,0.43184125423431396
2018,24,San Luis Potosí,0.4425646960735321
2020,24,San Luis Potosí,0.43979182839393616
2022,24,San Luis Potosí,0.40964701771736145
2010,25,Sinaloa,0.4660084843635559
2012,25,Sinaloa,0.4664433002471924
2014,25,Sinaloa,0.48590222001075745
2016,25,Sinaloa,0.4203549027442932
2018,25,Sinaloa,0.4337446391582489
2020,25,Sinaloa,0.39551910758018494
2022,25,Sinaloa,0.3868725895881653
2010,26,Sonora,0.4786745607852936
2012,26,Sonora,0.47696319222450256
2014,26,Sonora,0.4758242666721344
2016,26,Sonora,0.4850844442844391
2018,26,Sonora,0.428466260433197
2020,26,Sonora,0.4424588084220886
2022,26,Sonora,0.40626731514930725
2010,27,Tabasco,0.4779394865036011
2012,27,Tabasco,0.5156763195991516
2014,27,Tabasco,0.4561152458190918
2016,27,Tabasco,0.45013681054115295
2018,27,Tabasco,0.4456605315208435
2020,27,Tabasco,0.45570850372314453
2022,27,Tabasco,0.4174710810184479
2010,28,Tamaulipas,0.4487907290458679
2012,28,Tamaulipas,0.4655027985572815
2014,28,Tamaulipas,0.4778990149497986
2016,28,Tamaulipas,0.463697224855423
2018,28,Tamaulipas,0.4569101333618164
2020,28,Tamaulipas,0.4259944260120392
2022,28,Tamaulipas,0.3896048963069916
2010,29,Tlaxcala,0.42498478293418884
2012,29,Tlaxcala,0.41997358202934265
2014,29,Tlaxcala,0.4111735224723816
2016,29,Tlaxcala,0.37222903966903687
2018,29,Tlaxcala,0.3619349002838135
2020,29,Tlaxcala,0.3946531414985657
2022,29,Tlaxcala,0.34358662366867065
2010,30,Veracruz de Ignacio de la Llave,0.5328657031059265
2012,30,Veracruz de Ignacio de la Llave,0.4930257797241211
2014,30,Veracruz de Ignacio de la Llave,0.48993760347366333
2016,30,Veracruz de Ignacio de la Llave,0.47762998938560486
2018,30,Veracruz de Ignacio de la Llave,0.438976913690567
2020,30,Veracruz de Ignacio de la Llave,0.41957905888557434
2022,30,Veracruz de Ignacio de la Llave,0.4265563189983368
2010,31,Yucatán,0.4622718095779419
2012,31,Yucatán,0.46075257658958435
2014,31,Yucatán,0.5108495354652405
2016,31,Yucatán,0.44680413603782654
2018,31,Yucatán,0.45030641555786133
2020,31,Yucatán,0.46544143557548523
2022,31,Yucatán,0.41871538758277893
2010,32,Zacatecas,0.5212114453315735
2012,32,Zacatecas,0.5263062119483948
2014,32,Zacatecas,0.5066560506820679
2016,32,Zacatecas,0.48188167810440063
2018,32,Zacatecas,0.41219088435173035
2020,32,Zacatecas,0.449434369802475
2022,32,Zacatecas,0.40953272581100464
