id_estado,estado,fecha,derhab,porc_analf,promedio_ed,derhab_imputado,porc_analf_imputado,promedio_ed_imputado
22,Querétaro,2020,1873160.0,4.53571775762054,10.4845990231161,0,1,0
23,Quintana Roo,2000,404334.0,7.5,7.8,0,0,0
23,Quintana Roo,2005,522673.0,6.6,8.5,0,0,0
23,Quintana Roo,2010,896408.0,4.77,9.12,0,0,0
23,Quintana Roo,2015,1130868.0,3.87161810136706,9.615036243576009,1,0,0
23,Quintana Roo,2020,1365328.0,3.87161810136706,10.2392894887778,0,1,0
24,San Luis Potosí,2000,859833.0,11.3,6.9,0,0,0
24,San Luis Potosí,2005,1204459.0,9.9,7.7,0,0,0
24,San Luis Potosí,2010,1887156.0,7.91,8.26,0,0,0
24,San Luis Potosí,2015,2107304.0,6.28018527625369,8.81999521036877,1,0,0
24,San Luis Potosí,2020,2327452.0,6.28018527625369,9.61312740129257,0,1,0
25,Sinaloa,2000,1345548.0,8.0,7.6,0,0,0
25,Sinaloa,2005,1656214.0,6.4,8.5,0,0,0
25,Sinaloa,2010,2074048.0,4.97,9.08,0,0,0
25,Sinaloa,2015,2260781.5,4.15694135121915,9.58132525939067,1,0,0
25,Sinaloa,2020,2447515.0,4.15694135121915,10.2235084210957,0,1,0
26,Sonora,2000,1250610.0,4.4,8.2,0,0,0
26,Sonora,2005,1595337.0,3.7,8.9,0,0,0
26,Sonora,2010,1970349.0,3.04,9.42,0,0,0
26,Sonora,2015,2180914.0,2.16904389627038,10.0014293654817,1,0,0
26,Sonora,2020,2391479.0,2.16904389627038,10.4031969176912,0,1,0
27,Tabasco,2000,555359.0,9.7,7.2,0,0,0
27,Tabasco,2005,1310978.0,8.6,8.0,0,0,0
27,Tabasco,2010,1645246.0,7.06,8.64,0,0,0
27,Tabasco,2015,1645167.5,5.356582134415031,9.31176893327734,1,0,0
27,Tabasco,2020,1645089.0,5.356582134415031,9.69339567490985,0,1,0
28,Tamaulipas,2000,1409261.0,5.1,8.0,0,0,0
28,Tamaulipas,2005,1958143.0,4.5,8.7,0,0,0
28,Tamaulipas,2010,2397748.0,3.61,9.12,0,0,0
28,Tamaulipas,2015,2600577.5,3.00463651565029,9.50851208682107,1,0,0
28,Tamaulipas,2020,2803407.0,3.00463651565029,10.0922087841223,0,1,0
29,Tlaxcala,2000,287095.0,7.8,7.6,0,0,0
29,Tlaxcala,2005,373001.0,6.7,8.3,0,0,0
29,Tlaxcala,2010,720545.0,5.19,8.78,0,0,0
29,Tlaxcala,2015,842572.0,3.94859558387132,9.27411156289314,1,0,0
29,Tlaxcala,2020,964599.0,3.94859558387132,9.833169621872809,0,1,0
30,Veracruz,2000,2120484.0,14.9,6.4,0,0,0
30,Veracruz,2005,2815293.0,13.4,7.2,0,0,0
30,Veracruz,2010,4484837.0,11.44,7.67,0,0,0
30,Veracruz,2015,5155185.0,9.44245203322419,8.203437948035889,1,0,0
30,Veracruz,2020,5825533.0,9.44245203322419,8.74562905823893,0,1,0
31,Yucatán,2000,747250.0,12.3,6.8,0,0,0
31,Yucatán,2005,961210.0,10.9,7.6,0,0,0
31,Yucatán,2010,1464077.0,9.23,8.22,0,0,0
31,Yucatán,2015,1637099.0,7.41280706280645,8.82107732936428,1,0,0
31,Yucatán,2020,1810121.0,7.41280706280645,9.59471829566621,0,1,0
32,Zacatecas,2000,438329.0,8.0,6.5,0,0,0
32,Zacatecas,2005,577422.0,7.2,7.2,0,0,0
32,Zacatecas,2010,1020487.0,5.55,7.9,0,0,0
32,Zacatecas,2015,1156773.0,4.38764677699604,8.629599031716339,1,0,0
32,Zacatecas,2020,1293059.0,4.38764677699604,9.24556342669432,0,1,0
